Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Male,Clicked on Ad
68.95,35,61833.9,256.09,0,0
80.23,31,68441.85,193.77,1,0
69.47,26,59785.94,236.5,0,0
74.15,29,54806.18,245.89,1,0
68.37,35,73889.99,225.58,0,0
59.99,23,59761.56,226.74,1,0
88.91,33,53852.85,208.36,0,0
66,48,24593.33,131.76,1,1
74.53,30,68862,221.51,1,0
69.88,20,55642.32,183.82,1,0
47.64,49,45632.51,122.02,0,1
83.07,37,62491.01,230.87,1,0
69.57,48,51636.92,113.12,1,1
79.52,24,51739.63,214.23,0,0
42.95,33,30976,143.56,0,1
63.45,23,52182.23,140.64,1,1
55.39,37,23936.86,129.41,0,1
82.03,41,71511.08,187.53,0,0
54.7,36,31087.54,118.39,1,1
74.58,40,23821.72,135.51,1,1
77.22,30,64802.33,224.44,1,0
84.59,35,60015.57,226.54,1,0
41.49,52,32635.7,164.83,0,1
87.29,36,61628.72,209.93,1,0
41.39,41,68962.32,167.22,0,1
78.74,28,64828,204.79,1,0
48.53,28,38067.08,134.14,1,1
51.95,52,58295.82,129.23,0,1
70.2,34,32708.94,119.2,0,1
76.02,22,46179.97,209.82,0,0
67.64,35,51473.28,267.01,1,0
86.41,28,45593.93,207.48,1,0
59.05,57,25583.29,169.23,1,1
55.6,23,30227.98,212.58,0,1
57.64,57,45580.92,133.81,1,1
84.37,30,61389.5,201.58,0,0
62.26,53,56770.79,125.45,1,1
65.82,39,76435.3,221.94,0,0
50.43,46,57425.87,119.32,1,1
38.93,39,27508.41,162.08,0,1
84.98,29,57691.95,202.61,0,0
64.24,30,59784.18,252.36,0,0
82.52,32,66572.39,198.11,1,0
81.38,31,64929.61,212.3,0,0
80.47,25,57519.64,204.86,0,0
37.68,52,53575.48,172.83,1,1
69.62,20,50983.75,202.25,1,0
85.4,43,67058.72,198.72,0,0
44.33,37,52723.34,123.72,1,1
48.01,46,54286.1,119.93,0,1
73.18,23,61526.25,196.71,1,0
79.94,28,58526.04,225.29,0,0
33.33,45,53350.11,193.58,1,1
50.33,50,62657.53,133.2,1,1
62.31,47,62722.57,119.3,0,1
80.6,31,67479.62,177.55,0,0
65.19,36,75254.88,150.61,0,1
44.98,49,52336.64,129.31,0,1
77.63,29,56113.37,239.22,0,0
41.82,41,24852.9,156.36,0,1
85.61,27,47708.42,183.43,0,0
85.84,34,64654.66,192.93,1,0
72.08,29,71228.44,169.5,0,0
86.06,32,61601.05,178.92,1,0
45.96,45,66281.46,141.22,0,1
62.42,29,73910.9,198.5,1,0
63.89,40,51317.33,105.22,0,1
35.33,32,51510.18,200.22,0,1
75.74,25,61005.87,215.25,1,0
78.53,34,32536.98,131.72,0,1
46.13,31,60248.97,139.01,0,1
69.01,46,74543.81,222.63,0,0
55.35,39,75509.61,153.17,1,1
33.21,43,42650.32,167.07,1,1
38.46,42,58183.04,145.98,1,1
64.1,22,60465.72,215.93,0,0
49.81,35,57009.76,120.06,1,1
82.73,33,54541.56,238.99,1,0
56.14,38,32689.04,113.53,1,1
55.13,45,55605.92,111.71,0,1
78.11,27,63296.87,209.25,1,0
73.46,28,65653.47,222.75,1,0
56.64,38,61652.53,115.91,0,1
68.94,54,30726.26,138.71,0,1
70.79,31,74535.94,184.1,0,0
57.76,41,47861.93,105.15,0,1
77.51,36,73600.28,200.55,0,0
52.7,34,58543.94,118.6,1,1
57.7,34,42696.67,109.07,0,1
56.89,37,37334.78,109.29,1,1
69.9,43,71392.53,138.35,0,1
55.79,24,59550.05,149.67,0,1
70.03,26,64264.25,227.72,1,0
50.08,40,64147.86,125.85,1,1
43.67,31,25686.34,166.29,1,1
72.84,26,52968.22,238.63,0,0
45.72,36,22473.08,154.02,1,1
39.94,41,64927.19,156.3,0,1
35.61,46,51868.85,158.22,0,1
79.71,34,69456.83,211.65,1,0
41.49,53,31947.65,169.18,0,1
63.6,23,51864.77,235.28,1,0
89.91,40,59593.56,194.23,0,0
68.18,21,48376.14,218.17,1,0
66.49,20,56884.74,202.16,0,0
80.49,40,67186.54,229.12,1,0
72.23,25,46557.92,241.03,1,0
42.39,42,66541.05,150.99,0,1
47.53,30,33258.09,135.18,0,1
74.02,32,72272.9,210.54,0,0
66.63,60,60333.38,176.98,0,1
63.24,53,65229.13,235.78,1,1
71,22,56067.38,211.87,0,0
46.13,46,37838.72,123.64,1,1
69,32,72683.35,221.21,1,0
76.99,31,56729.78,244.34,1,0
72.6,55,66815.54,162.95,0,1
61.88,42,60223.52,112.19,1,1
84.45,50,29727.79,207.18,0,1
88.97,45,49269.98,152.49,0,1
86.19,31,57669.41,210.26,1,0
49.58,26,56791.75,231.94,0,0
77.65,27,63274.88,212.79,0,0
37.75,36,35466.8,225.24,0,1
62.33,43,68787.09,127.11,0,1
79.57,31,61227.59,230.93,0,0
80.31,44,56366.88,127.07,0,1
89.05,45,57868.44,206.98,0,0
70.41,27,66618.21,223.03,0,0
67.36,37,73104.47,233.56,0,0
46.98,50,21644.91,175.37,0,1
41.67,36,53817.02,132.55,0,1
51.24,36,76368.31,176.73,0,1
75.7,29,67633.44,215.44,0,0
43.49,47,50335.46,127.83,0,1
49.89,39,17709.98,160.03,1,1
38.37,36,41229.16,140.46,0,1
38.52,38,42581.23,137.28,1,1
71.89,23,61617.98,172.81,1,0
75.8,38,70575.6,146.19,1,0
83.86,31,64122.36,190.25,0,0
37.51,30,52097.32,163,1,1
55.6,44,65953.76,124.38,1,1
83.67,44,60192.72,234.26,1,0
69.08,41,77460.07,210.6,0,0
37.47,44,45716.48,141.89,1,1
56.04,49,65120.86,128.95,1,1
70.92,41,49995.63,108.16,1,1
49.78,46,71718.51,152.24,0,1
68.61,57,61770.34,150.29,0,1
58.18,25,69112.84,176.28,1,0
78.54,35,72524.86,172.1,0,0
37,48,36782.38,158.22,1,1
65.4,33,66699.12,247.31,0,0
79.52,27,64287.78,183.48,1,0
87.98,38,56637.59,222.11,1,0
44.64,36,55787.58,127.01,0,1
41.73,28,61142.33,202.18,1,1
80.46,27,61625.87,207.96,1,0
75.55,36,73234.87,159.24,0,1
76.32,35,74166.24,195.31,1,0
82.68,33,62669.59,222.77,1,0
72.01,31,57756.89,251,0,0
75.83,24,58019.64,162.44,0,0
41.28,50,50960.08,140.39,0,1
34.66,32,48246.6,194.83,0,1
66.18,55,28271.84,143.42,0,1
86.06,31,53767.12,219.72,1,0
59.59,42,43662.1,104.78,1,1
86.69,34,62238.58,198.56,0,0
43.77,52,49030.03,138.55,1,1
71.84,47,76003.47,199.79,1,0
80.23,31,68094.85,196.23,0,0
74.41,26,64395.85,163.05,0,0
63.36,48,70053.27,137.43,0,1
71.74,35,72423.97,227.56,0,0
60.72,44,42995.8,105.69,0,1
72.04,22,60309.58,199.43,0,0
44.57,31,38349.78,133.17,1,1
85.86,34,63115.34,208.23,0,0
39.85,38,31343.39,145.96,0,1
84.53,27,40763.13,168.34,0,1
62.95,60,36752.24,157.04,0,1
67.58,41,65044.59,255.61,1,0
85.56,29,53673.08,210.46,0,0
46.88,54,43444.86,136.64,0,1
46.31,57,44248.52,153.98,1,1
